,KL,JB,SG,PJ
0,5743157,9745909,5781114,8440189
1,7313546,9003719,8395916,7083056
2,8469978,6920242,7924578,6558937
3,8580014,8988538,6653772,9158805
4,5090333,8061352,5452562,6767102
5,7248964,6242082,6239551,6098279
6,5139972,5154166,6951119,9119931
7,7847824,6235814,5489519,7369767
8,7369417,5755481,5080391,6312330
9,7449090,6190120,5742283,6505807
10,6154427,7147494,7344961,9178435
11,8550303,9289894,8910045,9125880
12,5244138,9166805,8983937,6252913
13,9087497,5600106,7463083,8162315
14,5118853,5798931,8579442,8778149
15,9437149,9764123,7958871,6971362
16,9842377,7982194,7429427,8191413
17,5377023,6589967,6906794,9553063
18,9197007,5429894,8200762,9627228
19,9245623,5859745,9918810,5831231
20,8345067,7185000,5828959,6523512
21,8165429,5877583,5827339,9066365
22,8571396,6618953,9648155,5603527
23,9721036,9085780,7666230,8386303
24,6902631,8014502,8926988,9567919
25,9486624,7887623,5013553,6631836
26,7859623,5997970,6699721,7322594
27,6831031,5406294,5958878,7262944
28,9667000,8917386,5914328,6053504
29,5917238,6267324,7681307,9020152
30,5808114,8712504,7665402,9517149
31,6104066,6021478,8857355,7696604
32,5494577,8500091,7978882,9393453
33,5001808,5920004,9618204,7196690
34,7623933,9556179,8286306,7384143
35,9783533,8677027,5365191,8784007
36,7113516,6852292,9203852,6446521
37,6815770,9357776,8831734,6977693
38,8951456,7112720,8802964,9877484
39,8333159,7092370,6066912,5917066
40,8495513,6813539,5065408,8634551
41,8680540,5831963,7620506,5394820
42,5715487,6876408,7117347,8530035
43,9860939,6830313,6749129,5752207
44,7434654,7684913,8019066,7322153
45,9716903,7948523,7622596,5056428
46,5018009,7237364,7671909,5883144
47,5397324,6392383,9879210,8057155
48,7462898,7854645,7392113,9384740
49,5647244,8720446,6010210,7032794
50,5747350,6113270,9488470,6470176
51,9030253,7320715,6706629,6090518
52,9490709,8974041,9334771,6988298
53,6835507,7958799,6519529,7706021
54,6998374,6419837,7416046,5486753
55,7846688,5578736,6014923,7239732
56,6145996,5105350,7169419,9898183
57,7757600,6590128,7539888,8070136
58,9631663,8737388,5136169,8539765
59,7122384,8736357,5108000,7529380
60,7445607,9254464,7215667,7768356
61,7522262,8600340,9937130,5411250
62,7218821,9831358,6503022,9428710
63,5566776,8348265,7179395,8024937
64,8330275,6786284,5824183,6834313
65,9850451,9237503,6604828,9829481
66,6217502,8040365,6434817,8320324
67,5747411,5348746,9315867,8544285
68,9328309,9108296,5355670,9836855
69,8235976,8675476,5079128,9108946
70,5695014,8729870,5147314,7225248
71,7743516,9696689,8461984,6818665
72,5916469,7969432,7062712,8193012
73,5041261,9606080,8665236,6857739
74,7645880,7714119,8853963,7472125
75,9576144,8753529,9773809,8955383
76,7202070,7734237,8321255,5564974
77,8308989,9078948,9442329,5977076
78,5486215,8216582,7497497,8219438
79,9222700,8605342,5155069,6929449
80,6745899,8271760,8716280,8285538
81,9719666,8028317,8079588,9688668
82,6495908,8581033,6186245,6544476
83,5816770,8115968,8854933,5739005
84,8505052,6275597,9942990,9785060
85,6957753,6193507,8473191,9783939
86,8050200,8247825,9003269,7258240
87,8898593,5037426,5141292,5833016
88,8511664,5048344,5934782,7598519
89,6115540,8738795,5353231,9010804
90,8610469,9827311,6110307,5323923
